readers,writers,total_time_ms,read_count,write_count,avg_read_time_us,avg_write_time_us,read_ops_sec,write_ops_sec,ratio
2,1,3007,39,135,153384.62,22244.44,12.97,44.9,2.0
3,1,3003,41,141,206585.37,21475.18,13.65,46.95,3.0
5,1,3013,62,125,228983.87,24056.0,20.58,41.49,5.0
10,1,3001,55,148,443618.18,20202.7,18.33,49.32,10.0
5,2,3012,6,300,456166.67,19943.33,1.99,99.6,2.5
10,2,3009,15,308,365533.33,19454.55,4.99,102.36,5.0
15,3,3004,15,384,14600.0,23322.92,4.99,127.83,5.0
3,3,3015,4,473,423750.0,19147.99,1.33,156.88,1.0
1,3,3003,1,481,18000.0,18758.84,0.33,160.17,0.3333333333333333
1,5,3011,1,744,11000.0,20252.69,0.33,247.09,0.2
